iteration,total_loss,pde_loss,bc_loss,ic_loss,lr,time_elapsed_s
9300,0.00507630268111825,0.0009491711971350014,0.004127131309360266,0.0,0.001,4728.98
9400,0.007667801808565855,0.0045218924060463905,0.0031459094025194645,0.0,0.001,4780.39
9500,0.0004956622142344713,0.0002743525546975434,0.0002213096886407584,0.0,0.001,4831.25
9600,0.0027872181963175535,0.0016899972688406706,0.001097220927476883,0.0,0.001,4881.83
9700,0.0013537007616832852,0.0007907416438683867,0.0005629591178148985,0.0,0.001,4932.59
9800,0.0031951034907251596,0.002782336436212063,0.00041276708361692727,0.0,0.001,4983.78
9900,0.0004603443667292595,0.00027146044885739684,0.00018888393242377788,0.0,0.001,5034.50
10000,0.00018414254009258002,0.00011942270793952048,6.471983215305954e-05,0.0,0.001,5085.23
10001,0.0001707410265225917,0.00010904484952334315,6.169616972329095e-05,0.0,0.0,5085.75
10050,9.860748104983941e-05,5.0257076509296894e-05,4.835040454054251e-05,0.0,0.0,5111.45
10100,6.996889715082943e-05,3.159592597512528e-05,3.837297117570415e-05,0.0,0.0,5138.92
10150,5.9967733250232413e-05,2.71987883024849e-05,3.2768944947747514e-05,0.0,0.0,5166.75
10200,4.68482612632215e-05,2.040539402514696e-05,2.644286723807454e-05,0.0,0.0,5194.73
10250,3.500721140881069e-05,1.804917337722145e-05,1.695803803158924e-05,0.0,0.0,5222.62
10300,3.2214833481702954e-05,1.4711162293679081e-05,1.7503673007013276e-05,0.0,0.0,5250.91
10350,2.6612149667926133e-05,1.303252429352142e-05,1.3579625374404714e-05,0.0,0.0,5278.85
10400,2.5070081392186694e-05,1.3325412510312162e-05,1.1744668881874532e-05,0.0,0.0,5306.54
10450,2.248710188723635e-05,1.0429268513689749e-05,1.20578333735466e-05,0.0,0.0,5334.04
10500,2.142763878509868e-05,1.0807802027557045e-05,1.0619836757541634e-05,0.0,0.0,5361.41
10550,1.8987568182637915e-05,9.545230568619445e-06,9.442338523513172e-06,0.0,0.0,5389.12
10600,1.7308617316302843e-05,7.837585144443437e-06,9.471032171859406e-06,0.0,0.0,5416.97
10650,1.5342589904321358e-05,7.511906915169675e-06,7.830682989151683e-06,0.0,0.0,5444.98
10700,1.3679944458999671e-05,7.213870958366897e-06,6.466073500632774e-06,0.0,0.0,5473.14
10750,1.2812906788894907e-05,7.166911927924957e-06,5.6459948609699495e-06,0.0,0.0,5501.33
10800,9.394023436470889e-06,4.294072368793422e-06,5.099951067677466e-06,0.0,0.0,5529.39
10850,8.798505405138712e-06,3.8162934288266115e-06,4.982211976312101e-06,0.0,0.0,5557.48
10900,7.731170626357198e-06,2.994648639287334e-06,4.736522441817215e-06,0.0,0.0,5585.55
10950,7.477166036551353e-06,3.1377157938550226e-06,4.33945024269633e-06,0.0,0.0,5613.67
11000,6.923860382812563e-06,2.6411967155581806e-06,4.282663667254383e-06,0.0,0.0,5641.75
